,index,team1,team2
534,727,Kings XI Punjab,Rajasthan Royals
535,728,Chennai Super Kings,Sunrisers Hyderabad
536,730,Royal Challengers Bangalore,Kolkata Knight Riders
537,731,Mumbai Indians,Rajasthan Royals
538,733,Kolkata Knight Riders,Sunrisers Hyderabad
539,734,Royal Challengers Bangalore,Chennai Super Kings
540,736,Sunrisers Hyderabad,Chennai Super Kings
541,737,Royal Challengers Bangalore,Kings XI Punjab
542,738,Kolkata Knight Riders,Rajasthan Royals
543,739,Mumbai Indians,Chennai Super Kings
544,740,Sunrisers Hyderabad,Rajasthan Royals
545,742,Kolkata Knight Riders,Mumbai Indians
546,743,Sunrisers Hyderabad,Kings XI Punjab
547,744,Royal Challengers Bangalore,Rajasthan Royals
548,746,Mumbai Indians,Sunrisers Hyderabad
549,747,Kings XI Punjab,Kolkata Knight Riders
550,749,Sunrisers Hyderabad,Royal Challengers Bangalore
551,750,Chennai Super Kings,Kings XI Punjab
552,751,Kolkata Knight Riders,Mumbai Indians
553,752,Chennai Super Kings,Mumbai Indians
554,755,Mumbai Indians,Chennai Super Kings
