,index,team1,team2
125,186,Rajasthan Royals,Kolkata Knight Riders
126,187,Mumbai Indians,Royal Challengers Bangalore
127,189,Kings XI Punjab,Chennai Super Kings
128,190,Kolkata Knight Riders,Mumbai Indians
129,191,Royal Challengers Bangalore,Chennai Super Kings
130,192,Rajasthan Royals,Kings XI Punjab
131,193,Chennai Super Kings,Mumbai Indians
132,195,Kolkata Knight Riders,Kings XI Punjab
133,196,Delhi Daredevils,Royal Challengers Bangalore
134,197,Rajasthan Royals,Chennai Super Kings
135,199,Delhi Daredevils,Kolkata Knight Riders
136,200,Kings XI Punjab,Mumbai Indians
137,201,Royal Challengers Bangalore,Chennai Super Kings
138,202,Delhi Daredevils,Rajasthan Royals
139,204,Kings XI Punjab,Royal Challengers Bangalore
140,205,Chennai Super Kings,Rajasthan Royals
141,207,Kolkata Knight Riders,Kings XI Punjab
142,208,Delhi Daredevils,Royal Challengers Bangalore
143,210,Chennai Super Kings,Mumbai Indians
144,211,Kings XI Punjab,Rajasthan Royals
145,212,Kolkata Knight Riders,Delhi Daredevils
146,214,Mumbai Indians,Kings XI Punjab
147,216,Kolkata Knight Riders,Royal Challengers Bangalore
148,217,Delhi Daredevils,Kings XI Punjab
149,218,Mumbai Indians,Rajasthan Royals
150,220,Mumbai Indians,Delhi Daredevils
151,221,Kolkata Knight Riders,Chennai Super Kings
152,222,Rajasthan Royals,Royal Challengers Bangalore
153,223,Chennai Super Kings,Delhi Daredevils
154,225,Mumbai Indians,Royal Challengers Bangalore
155,226,Rajasthan Royals,Kolkata Knight Riders
156,227,Kings XI Punjab,Chennai Super Kings
157,229,Mumbai Indians,Kolkata Knight Riders
158,230,Mumbai Indians,Royal Challengers Bangalore
159,233,Chennai Super Kings,Mumbai Indians
160,234,Chennai Super Kings,Kolkata Knight Riders
161,237,Delhi Daredevils,Mumbai Indians
162,240,Delhi Daredevils,Rajasthan Royals
163,241,Royal Challengers Bangalore,Mumbai Indians
164,242,Chennai Super Kings,Kings XI Punjab
165,245,Rajasthan Royals,Kolkata Knight Riders
166,247,Chennai Super Kings,Royal Challengers Bangalore
167,250,Rajasthan Royals,Kolkata Knight Riders
168,255,Kings XI Punjab,Rajasthan Royals
169,256,Mumbai Indians,Chennai Super Kings
170,257,Kolkata Knight Riders,Royal Challengers Bangalore
171,258,Delhi Daredevils,Kings XI Punjab
172,262,Delhi Daredevils,Royal Challengers Bangalore
173,265,Kolkata Knight Riders,Delhi Daredevils
174,266,Mumbai Indians,Rajasthan Royals
175,269,Kings XI Punjab,Kolkata Knight Riders
176,272,Mumbai Indians,Kings XI Punjab
177,275,Rajasthan Royals,Chennai Super Kings
178,279,Royal Challengers Bangalore,Kings XI Punjab
179,280,Chennai Super Kings,Kolkata Knight Riders
180,281,Mumbai Indians,Delhi Daredevils
181,284,Chennai Super Kings,Rajasthan Royals
182,286,Kings XI Punjab,Mumbai Indians
183,287,Rajasthan Royals,Royal Challengers Bangalore
184,288,Chennai Super Kings,Delhi Daredevils
185,290,Kolkata Knight Riders,Royal Challengers Bangalore
186,292,Kings XI Punjab,Delhi Daredevils
187,295,Kings XI Punjab,Royal Challengers Bangalore
188,298,Mumbai Indians,Rajasthan Royals
189,301,Chennai Super Kings,Royal Challengers Bangalore
190,302,Kolkata Knight Riders,Mumbai Indians
191,303,Royal Challengers Bangalore,Chennai Super Kings
192,304,Kolkata Knight Riders,Mumbai Indians
193,305,Royal Challengers Bangalore,Mumbai Indians
194,306,Chennai Super Kings,Royal Challengers Bangalore
195,307,Chennai Super Kings,Mumbai Indians
196,308,Kolkata Knight Riders,Delhi Daredevils
197,310,Rajasthan Royals,Kings XI Punjab
198,311,Royal Challengers Bangalore,Delhi Daredevils
199,313,Rajasthan Royals,Kolkata Knight Riders
200,316,Kolkata Knight Riders,Royal Challengers Bangalore
201,317,Chennai Super Kings,Delhi Daredevils
202,318,Mumbai Indians,Rajasthan Royals
203,319,Royal Challengers Bangalore,Chennai Super Kings
204,321,Rajasthan Royals,Kolkata Knight Riders
205,324,Kings XI Punjab,Kolkata Knight Riders
206,325,Rajasthan Royals,Royal Challengers Bangalore
207,326,Mumbai Indians,Delhi Daredevils
208,329,Kings XI Punjab,Kolkata Knight Riders
209,332,Kings XI Punjab,Royal Challengers Bangalore
210,333,Rajasthan Royals,Chennai Super Kings
211,335,Mumbai Indians,Kings XI Punjab
212,337,Royal Challengers Bangalore,Rajasthan Royals
213,339,Kings XI Punjab,Mumbai Indians
214,341,Delhi Daredevils,Mumbai Indians
215,342,Kings XI Punjab,Chennai Super Kings
216,343,Kolkata Knight Riders,Royal Challengers Bangalore
217,344,Delhi Daredevils,Rajasthan Royals
218,346,Chennai Super Kings,Kolkata Knight Riders
219,348,Rajasthan Royals,Delhi Daredevils
220,349,Royal Challengers Bangalore,Kings XI Punjab
221,353,Rajasthan Royals,Kings XI Punjab
222,354,Chennai Super Kings,Mumbai Indians
223,356,Delhi Daredevils,Kolkata Knight Riders
224,359,Mumbai Indians,Royal Challengers Bangalore
225,360,Rajasthan Royals,Chennai Super Kings
226,362,Mumbai Indians,Kolkata Knight Riders
227,363,Delhi Daredevils,Chennai Super Kings
228,366,Royal Challengers Bangalore,Mumbai Indians
229,367,Kolkata Knight Riders,Chennai Super Kings
230,368,Kings XI Punjab,Delhi Daredevils
231,369,Kolkata Knight Riders,Mumbai Indians
232,370,Chennai Super Kings,Kings XI Punjab
233,371,Royal Challengers Bangalore,Delhi Daredevils
234,373,Kings XI Punjab,Delhi Daredevils
235,376,Rajasthan Royals,Mumbai Indians
236,377,Kolkata Knight Riders,Delhi Daredevils
237,378,Chennai Super Kings,Mumbai Indians
238,379,Chennai Super Kings,Delhi Daredevils
239,380,Chennai Super Kings,Kolkata Knight Riders
240,381,Delhi Daredevils,Kolkata Knight Riders
241,382,Royal Challengers Bangalore,Mumbai Indians
